"","VTID","Positive","stg4_6","stg7_8","stg9_10","stg11_12","stg13_14","stg15_16"
"347","VT1219",1,0,0,0,0,0,1
"348","VT12222",0,0,0,0,0,0,0
"349","VT12223",0,0,0,0,0,0,0
"350","VT12224",0,0,0,0,0,0,0
"351","VT12225",1,1,0,0,0,0,0
"352","VT12227",0,0,0,0,0,1,0
"353","VT12228",0,0,0,0,0,0,0
"354","VT12230",1,0,0,1,1,1,1
"355","VT12232",1,0,0,0,1,1,0
"356","VT12244",1,1,1,1,1,1,1
"357","VT12246",1,0,0,0,1,1,1
"358","VT12249",0,0,0,0,0,0,0
"359","VT12250",0,0,0,0,0,0,1
"360","VT12275",0,0,0,0,0,0,0
"361","VT12278",0,0,0,0,0,0,0
"362","VT12279",0,0,0,0,0,0,0
"363","VT12282",0,0,0,0,0,0,0
"364","VT12283",0,0,0,0,0,0,0
"365","VT12284",1,0,0,1,1,1,1
"366","VT12285",1,0,0,0,0,0,1
"367","VT12286",0,0,0,0,0,0,0
"368","VT12287",1,0,0,0,0,0,1
"369","VT12289",0,0,0,0,0,0,0
"370","VT12290",1,0,0,0,0,1,1
"371","VT12291",1,0,0,0,1,1,1
"372","VT12292",1,0,0,1,1,1,1
"373","VT12293",0,0,0,0,0,0,0
"374","VT12294",1,0,0,1,1,1,1
"375","VT12297",1,0,0,0,0,1,1
"376","VT12298",1,0,0,1,1,1,1
"377","VT12299",0,0,0,0,1,1,1
"378","VT12300",1,0,0,0,1,1,0
"379","VT12301",0,0,0,0,0,0,0
"380","VT12304",0,0,0,0,0,1,0
"381","VT12305",0,0,0,0,0,0,1
"382","VT12306",0,0,0,0,0,0,0
"383","VT12308",0,0,0,0,0,0,0
"384","VT12309",0,0,0,0,0,0,0
"385","VT12310",1,0,0,1,1,1,1
"386","VT12314",0,0,0,0,0,0,0
"387","VT12316",1,0,0,0,0,0,1
"388","VT12318",1,0,0,0,0,1,1
"389","VT12319",0,0,0,0,0,0,0
"390","VT12320",0,0,0,0,1,1,1
"391","VT12323",1,0,0,0,1,1,1
"392","VT12327",0,0,0,0,0,0,0
"393","VT12328",1,0,0,1,1,1,1
"394","VT12330",1,0,0,0,0,1,1
"395","VT12398",0,0,0,0,0,0,0
"396","VT12399",0,0,0,0,0,0,0
"397","VT12400",0,0,0,0,0,0,0
"398","VT12402",1,0,1,1,1,0,0
"399","VT12403",1,0,0,1,1,1,1
"400","VT12405",1,0,0,0,0,0,1
"401","VT12407",0,0,0,0,0,0,0
"402","VT12408",0,0,0,0,0,0,0
"403","VT12409",1,1,1,1,0,0,0
"404","VT12410",1,1,1,0,0,0,0
"405","VT12411",1,0,0,0,0,1,1
"406","VT12412",0,0,0,0,0,0,0
"407","VT12429",0,0,0,0,0,0,0
"408","VT12430",0,0,0,0,0,0,0
"409","VT12431",1,0,0,1,1,1,1
"410","VT12433",1,0,0,0,0,1,1
"411","VT12436",0,0,0,0,0,0,0
"412","VT12438",0,0,0,0,0,0,0
"413","VT12439",0,0,0,0,0,0,0
"414","VT12440",1,1,1,1,1,1,1
"415","VT12441",1,0,0,1,1,1,1
"416","VT12442",1,0,0,1,1,1,1
"417","VT12445",0,0,0,0,0,0,0
"418","VT12446",0,0,0,0,0,0,0
"419","VT12447",1,0,0,0,0,1,1
"420","VT12449",0,1,1,1,1,1,0
"421","VT12451",1,0,0,1,0,0,0
"422","VT12557",1,0,0,0,1,1,1
"423","VT12590",1,0,0,0,1,1,1
"424","VT12591",1,1,1,1,1,1,1
"425","VT12593",1,0,0,1,1,1,1
"426","VT12595",1,0,1,1,1,1,0
"427","VT12597",1,0,0,1,1,1,1
"428","VT12601",1,1,0,0,1,1,1
"429","VT12602",1,1,1,1,1,1,1
"430","VT12603",0,0,0,0,0,0,0
"431","VT12606",0,0,0,0,0,0,0
"432","VT12608",1,0,0,0,1,1,1
"433","VT12609",0,0,0,0,0,0,0
"434","VT12610",0,0,0,0,0,0,0
"435","VT12626",0,0,0,0,0,0,0
"436","VT12630",0,0,0,0,0,0,0
"437","VT12632",0,0,0,0,0,0,0
"438","VT12633",0,0,0,0,0,0,0
"439","VT12634",0,0,0,0,0,0,0
"440","VT12636",0,0,0,0,0,0,0
"441","VT12637",0,0,0,0,0,0,0
"442","VT12639",0,0,0,0,0,0,1
"443","VT12642",1,1,1,1,1,1,1
"444","VT12643",0,0,0,0,0,0,1
"445","VT12709",1,0,1,1,1,1,1
"446","VT12711",0,0,0,0,0,0,0
"447","VT12712",0,0,0,0,0,0,0
"448","VT12713",1,1,1,1,1,1,1
"449","VT12714",0,0,0,0,0,0,0
"450","VT12716",1,0,0,0,0,1,1
"451","VT12717",1,0,1,0,0,0,0
"452","VT12718",0,0,0,0,0,0,0
"453","VT12720",0,0,0,0,0,0,0
"454","VT12721",0,0,0,0,0,0,0
"455","VT12752",0,0,0,0,0,0,0
"456","VT12754",1,0,0,0,0,1,1
"457","VT12755",1,0,0,0,0,0,1
"458","VT12756",0,0,0,1,1,1,1
"459","VT12757",1,0,0,0,0,1,0
"460","VT12759",0,0,0,0,0,1,1
"461","VT12760",0,0,0,0,0,0,0
"462","VT12761",1,0,0,1,0,0,0
"463","VT12762",0,0,0,0,0,0,0
"464","VT12764",1,0,0,0,0,0,1
"465","VT12765",1,0,0,0,0,0,1
"466","VT12766",0,0,0,0,0,0,0
"467","VT12767",0,0,0,0,0,0,0
"468","VT12768",0,1,0,0,0,0,0
"469","VT12769",0,0,0,0,0,0,0
"470","VT12771",0,0,0,0,0,0,0
"471","VT12772",0,0,0,0,0,0,0
"472","VT12773",0,0,0,0,0,0,0
"473","VT12781",0,0,0,0,0,0,0
"474","VT12784",0,0,0,0,0,0,0
"475","VT12786",1,0,1,1,1,1,1
"476","VT12788",1,0,0,0,0,1,1
"477","VT12793",0,0,0,0,0,0,0
"478","VT12795",1,0,0,1,1,1,1
"479","VT12975",1,0,0,0,0,0,1
"480","VT1298",0,0,0,0,0,0,0
"481","VT12989",0,0,0,0,0,0,0
"482","VT12990",0,0,0,0,0,0,0
"483","VT13000",0,0,0,0,0,0,0
"484","VT13027",1,0,0,1,0,1,1
"485","VT13028",0,0,0,0,0,0,0
"486","VT13029",0,0,0,0,0,0,0
"487","VT13030",1,0,0,0,0,1,1
"488","VT13033",1,0,0,0,1,1,1
"489","VT13036",1,1,1,1,1,1,0
"490","VT13037",1,0,0,1,1,1,1
"491","VT13039",1,0,0,0,1,1,1
"492","VT13120",0,0,0,0,0,0,0
"493","VT13123",1,0,0,1,1,0,0
"494","VT13127",0,0,0,0,0,0,0
"495","VT13280",0,0,0,0,0,0,0
"496","VT13330",1,0,0,0,0,0,1
"497","VT13332",0,0,0,0,0,0,0
"498","VT13333",1,0,0,0,0,1,1
"499","VT13334",1,1,1,1,1,1,1
"500","VT13335",1,0,0,1,1,1,1
"501","VT13336",1,0,0,0,0,1,1
"502","VT13338",1,0,0,0,1,1,1
"503","VT13341",0,0,0,0,0,0,0
"504","VT13343",1,0,0,0,0,1,1
"505","VT13344",1,0,0,1,1,1,1
"506","VT13345",1,0,0,1,1,1,1
"507","VT13347",1,0,0,0,1,1,1
"508","VT13348",1,1,1,1,1,1,1
"509","VT13350",1,1,1,1,1,1,1
"510","VT13448",1,0,0,1,0,0,0
"511","VT13450",0,0,0,0,0,1,0
"512","VT13451",0,0,0,0,0,0,0
"513","VT13452",1,0,0,1,1,1,1
"514","VT13454",0,0,0,0,0,0,0
"515","VT13456",1,1,1,1,1,1,1
"516","VT13457",1,1,1,1,1,1,1
"517","VT13458",1,1,1,1,1,1,1
"518","VT13497",0,0,0,0,0,0,0
"519","VT13498",0,0,0,0,0,0,0
"520","VT13500",0,0,0,0,0,0,0
"521","VT13502",0,0,0,0,0,0,0
"522","VT13504",1,1,0,0,1,1,1
"523","VT13505",0,0,0,0,0,0,0
"524","VT13506",0,0,0,0,0,0,0
"525","VT13509",1,0,0,1,1,1,1
"526","VT13513",1,0,0,0,0,1,1
"527","VT13514",1,0,0,0,0,0,1
"528","VT13515",0,0,0,0,0,0,0
"529","VT13516",0,0,0,0,0,0,0
"530","VT13528",0,0,0,0,0,0,0
"531","VT13529",0,0,0,0,0,0,0
"532","VT13531",0,0,0,0,0,0,0
"533","VT13532",0,0,0,0,0,0,0
"534","VT13533",0,0,0,1,1,1,0
"535","VT13536",0,0,0,0,0,0,0
"536","VT13541",0,0,0,0,0,0,0
"537","VT13582",1,0,0,0,1,1,1
"538","VT13590",0,0,0,0,1,0,1
"539","VT13591",0,0,0,0,0,0,1
"540","VT13592",1,0,0,0,0,1,1
"541","VT13593",0,0,0,0,0,0,1
"542","VT13594",0,0,0,0,0,0,0
"543","VT13595",1,0,0,1,1,1,1
"544","VT13596",1,0,0,0,1,1,1
"545","VT13597",0,0,0,0,0,0,0
"546","VT13599",0,0,0,0,0,1,0
"547","VT13600",0,0,0,0,1,1,0
"548","VT13602",0,0,0,0,0,0,0
"549","VT13604",1,0,0,1,1,1,1
"550","VT13605",0,0,0,0,0,0,0
"551","VT13606",0,0,0,0,0,0,0
"552","VT13608",0,0,0,0,0,0,0
"553","VT13610",0,0,0,0,0,0,0
"554","VT13611",1,0,0,0,0,1,1
"555","VT13612",1,0,0,0,0,0,1
"556","VT13613",0,0,0,0,0,0,0
"557","VT13615",1,0,0,0,0,1,1
"558","VT13616",0,0,0,0,0,0,0
"559","VT13617",0,0,0,0,0,0,0
"560","VT13618",1,0,0,0,1,1,0
"561","VT13619",1,0,0,0,0,0,1
"562","VT13653",1,1,1,1,1,1,1
"563","VT13654",0,0,0,0,0,0,0
"564","VT13655",0,0,0,0,0,0,0
"565","VT13656",0,0,0,0,0,0,0
"566","VT13662",1,1,1,1,1,1,1
"567","VT13663",1,1,1,1,1,1,1
"568","VT13664",1,0,1,1,1,1,1
"569","VT13665",1,1,1,1,1,1,1
"570","VT13666",1,0,0,0,1,1,1
"571","VT13669",1,1,0,0,0,0,0
"572","VT13670",1,0,0,0,0,1,1
"573","VT13671",1,1,1,1,1,1,1
"574","VT13672",1,1,1,1,1,1,1
"575","VT13673",1,1,1,1,1,1,1
"576","VT13675",0,0,0,0,0,0,0
"577","VT13676",0,0,0,0,0,0,0
"578","VT13677",0,0,0,0,0,0,0
"579","VT13712",0,0,0,0,0,1,0
"580","VT13741",0,0,0,0,0,0,0
"581","VT13827",0,0,0,0,0,0,0
"582","VT13828",0,0,0,0,0,0,0
"583","VT13835",1,0,0,0,0,0,1
"584","VT13871",1,0,0,0,1,1,1
"585","VT13872",0,0,0,0,0,1,1
"586","VT13873",0,0,0,0,1,0,1
"587","VT13875",0,0,0,0,0,1,0
"588","VT13876",1,0,0,0,0,1,1
"589","VT13877",1,1,0,0,0,0,1
"590","VT13878",0,0,0,0,1,1,0
"591","VT13880",0,0,0,0,0,0,0
"592","VT13945",0,0,0,1,1,0,0
"593","VT13947",1,0,0,0,0,1,1
"594","VT13972",1,0,0,1,1,1,1
"595","VT13974",1,0,1,1,1,0,1
"596","VT13975",0,0,0,0,0,0,0
"597","VT14005",0,0,0,0,0,0,0
"598","VT14010",0,0,0,0,0,0,0
"599","VT14014",0,0,0,0,0,0,0
"600","VT14015",0,0,0,0,0,1,1
"601","VT1404",1,1,1,1,1,1,1
"602","VT1406",1,0,0,1,1,1,1
"603","VT14084",0,0,0,0,0,0,0
"604","VT14087",1,0,0,0,1,1,1
"605","VT14092",0,0,0,0,0,0,0
"606","VT14093",0,0,0,0,0,0,0
"607","VT14096",0,0,0,0,0,0,0
"608","VT14097",0,0,0,0,0,0,0
"609","VT14099",0,0,0,0,0,0,0
"610","VT14102",1,0,0,0,0,0,1
"611","VT14103",0,0,0,0,0,0,0
"612","VT14105",1,0,1,1,1,1,1
"613","VT14113",0,0,0,0,0,0,0
"614","VT14115",0,0,0,0,0,0,0
"615","VT14116",0,0,0,0,0,0,0
"616","VT14117",1,0,0,0,1,1,1
"617","VT14118",1,0,0,0,0,0,1
"618","VT14119",0,0,0,0,0,0,0
"619","VT14121",1,0,0,0,0,1,1
"620","VT14122",0,0,0,0,0,0,0
"621","VT14123",0,0,0,1,1,1,0
"622","VT14124",0,0,0,0,0,0,0
"623","VT14125",0,0,0,0,0,0,0
"624","VT1418",0,0,0,0,0,0,0
"625","VT1419",0,0,0,0,0,0,0
"626","VT1420",0,0,0,0,0,0,1
